idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
161;40;« Emplois chez adéquat. »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesPonctualité, sérieux, à l'écoute, souplesse., Régularité;InconvénientsAucun, aucun, aucun, aucun, aucun;3.9
162;40;« Peu d'avantage »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesBienveillance, autonomie pour les commerciaux.;InconvénientsPas de 13ème mois, ni de RTT, salaires assez bas.;3.9
163;40;« Avantages »;J'ai travaillé chez Groupe Adéquat à temps partiel;"AvantagesBonne n e ambiance
Rtt une demi journée pour chaque salarié";"InconvénientsPas de ce
Car franchise";3.9
164;40;« Il y a bien mieux »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesMutuelle et carte Tickets restaurants;InconvénientsPas de rtt pas de CE anormal pour une société de cette taille;3.9
165;40;« Assistante commerciale »;Je travaille chez Groupe Adéquat à temps plein;"AvantagesCommissions atteignable
150 euros de carte resto par mois
Mutuelle intéréssante
Prime intéressement";InconvénientsSalaire fixe pas très élevé mais les autres avantages compenses;3.9
166;40;« pourrait mieux faire »;Je travaille chez Groupe Adéquat à temps plein;Avantagesbonne ambiance, tickets restaurants, mutuelle bonne et réactive;Inconvénientspas d'avantages sociaux hormis les tickets restaurants,;3.9
167;40;« Groupe familial à taille humaine »;J'ai travaillé chez Groupe Adéquat à temps plein plus de 5 ans;AvantagesAutonomie, flexibilité, culture d'entreprise, évolution de carrière;InconvénientsManque de moyens informatiques, retard dématérialisation;3.9
168;40;« Mission intérimaire »;Je travaille chez Groupe Adéquat à;AvantagesLes missions proposés sont fréquentes;InconvénientsLes horaires, mission trop courte 4/5h;3.9
169;40;« Avis général »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesLes tâches sont très variées.;InconvénientsTrop de travail pour une petite équipe.;3.9
170;40;« Les valeurs du groupe ne sont pas un leurre »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;"AvantagesTravailler dans une société où la simplicité et l'humain sont au coeur de la structure.
Bienveillance en interne pour que être bienveillant avec nos candidats et intérimaires.

Les salaires fixes ne sont pas énormes mais le variable est important et ACCESSIBLE !

La direction n'est qu'à un ou deux niveau au dessus de chaque employé ! Vous pouvez communiquer avec votre DG sans problème";InconvénientsComme toutes sociétés de recrutement, très peu d'avantages. Mais des supérieurs attentifs aux bien être des salariés.;3.9
171;40;« Super entreprise ! »;Je travaille chez Groupe Adéquat à temps plein depuis moins d'un an;AvantagesValeurs humaines et respect des individus, peu importe leur place dans l'entreprise, leur qualification et leur ancienneté;InconvénientsMutuelle beaucoup trop chère -> environ 50€/salarié/mois;3.9
172;40;« Avantages oui mais inconvénients aussi »;J'ai travaillé chez Groupe Adéquat à temps plein;AvantagesEntreprise qui respecte ses valeurs et a l'ecoute de ses salaries. Possibilités d'évolutions;InconvénientsIl faudrait juste revaloriser certains salaires. Malgré le nombre d'agences en France il n'y a pas de CE;3.9
173;40;« mauvaise accueil personne qui prend les intérim pour de la viande »;J'ai travaillé chez Groupe Adéquat à;AvantagesAccessible facilement plein centre Voiron;InconvénientsLocal mal entretenu voir mal nettoyé papiers mal rangées de partout manque de respect lors des entretiens;3.9
174;40;« Bienveillance et Performance »;Je travaille chez Groupe Adéquat à temps plein depuis moins d'un an;AvantagesDirection à l'écoute, réelles capacités d'évolution en lien avec le développement de l'entreprise.;InconvénientsCommunication sur la notoriété de l'entreprise;3.9
175;40;« Super Groupe !!! »;Je travaille chez Groupe Adéquat à;"AvantagesLe contact et les échanges la direction très appréciés,  bon horaire, super esprit d'équipe, bonne ambiance. 
Formation interne super !";"InconvénientsL'évolution des logiciels de travail, CRM,etc....Mais c'est en cours donc une fois mis en place ça devrait être parfait ! ;)";3.9
176;40;« Société respectueuse de ses salariés »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;AvantagesSociété saine et à l'écoute de ses salariés et des candidats;"InconvénientsUn CE serait apprécié
Adéquat est une société qui mériterait d'être davantage connue et reconnue. Il serait donc positif de communiquer davantage via les réseaux sociaux, publicité...";3.9
177;40;« Une entreprise avec de vraies valeurs humaines »;Je travaille chez Groupe Adéquat à;"AvantagesAdéquat sait reconnaître la valeur de ses salariés et offre de réelles perspectives d'évolution au sein du groupe. 
La proximité avec nos salariés intérimaires permet un suivi de qualité lors des missions confiées.";InconvénientsJe regrette un peu le manque d'un CE;3.9
178;40;« DE VRAIE VALEUR HUMAINE ET DE PARTAGE »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;"Avantages- Responsabilité
- autonomie
- Sensibilisation accrue en prévention des risques";"Inconvénients- CE a étoffer
- communication visuelle et marketing légère";3.9
179;40;« Une entreprise qui vous ouvre des perspectives »;Je travaille chez Groupe Adéquat à;"AvantagesLe Groupe Adéquat permet à tous les salariés d'évoluer rapidement.
Une entreprise qui à des valeurs et une approche humaine exceptionnelle.";"InconvénientsManque de communication externe & de publicité. 
Nos concurrents eux occupe la toile et nos écrans de télévision, pourquoi pas nous ?";3.9
180;40;« Groupe familiale qui vise l'avenir »;Je travaille chez Groupe Adéquat à temps plein depuis plus de 10 ans;AvantagesGroupe familiale dans lequel le travail, le respect des personnes et la prise en compte de l'évolution personnelle ne sont pas de vains mots.  L'encadrement soutient ses collaborateurs dans les bons comme dans les mauvais moments.  Les équipes ont la liberté de pouvoir proposer des projets et d'être entendu.;InconvénientsIl n'y a pas de CE.;3.9
181;41;« Cette entreprise ne paye pas ses fournisseurs »;J'ai travaillé chez Multimedia France Productions à;AvantagesAucun vu qu'on  n'est pas payé.;InconvénientsOn n'est pas payé si MFP n'est pas payé par ses propres clients. Sacré inconvénient et sacrément illégal ! Essaie de vous faire signer des contrats a posteriori modifiant les termes convenus à la commande.;1.0
182;42;« ESN Inhumaine : A FUIR pour tous »;Je travaille chez Modis à temps plein;AvantagesRien ne me vient à l'esprit;"Inconvénients-     Missions inintéressantes et qui ne correspondent pas du tout  à vos attentes
-      Aspect Humain inexistant
-      Aucune transparence  
-	Aspect rentable 1000 fois plus important que l’aspect Humain
-	Managers qui alignent les mensonges
-	A EVITER A TOUT PRIX pour les personnes qui débutent sur le marché du travail 
-	Ils vous virent très rapidement si vous n’avez pas de mission 
-	Management,...communication et informations pour les consultants inexistantDérouler";3.2
183;42;« Bien pour débuter »;Je travaille chez Modis à temps plein depuis plus d'un an;"AvantagesRemboursement titre de transport à 100% 
Primes de Noel: 160e";"InconvénientsPas d'intéressement
Pas de reconnaissance ni d'évolution possible";3.2
184;42;« Horrible »;J'ai travaillé chez Modis à temps plein moins d'un an;AvantagesY a pas d’avantages que des inconvénients;InconvénientsVendeurs de viandes , pas de qualité de travail;3.2
185;42;« Une société qui offre de belles missions mais qui pourrait faire mieux au niveau rémunération »;Je travaille chez Modis à temps plein depuis plus de 10 ans;AvantagesDepuis 13 ans j'ai toujours eu de bonnes missions.;InconvénientsSalaire bas par rapport au marché.;3.2
186;42;« Du placement de collaborateurs »;J'ai travaillé chez Modis à temps plein plus d'un an;AvantagesCertains managers sont tout de même portés sur l'humain;InconvénientsLa direction s'intéresse plus aux chiffres et qu'aux collaborateurs. Les relations commerce/collaborateurs s'en ressentent au quotidien.;3.2
187;42;« Consultant »;Je travaille chez Modis à temps plein depuis moins d'un an;AvantagesBonne entreprise, bon manager, je recommande;Inconvénientssalaire en entrée faible en moyenne;3.2
188;42;« Management inexistant »;Je travaille chez Modis à temps plein depuis plus de 10 ans;"AvantagesFrais de déplacement 
Bien pour débuter
Pas mieux pas pire qu’une autre ss2i";"InconvénientsPas de revalorisation de salaire 
Pas de valorisation des compétences";3.2
189;42;« Très mauvaise entreprise »;Je travaille chez Modis à temps plein depuis plus d'un an;AvantagesAucun pour le moment apart le remboursement du pass navigo;"Inconvénients- Aucune possibilité d'évolution
- Des missions pas du tout intéressantes
- Aspect rentable qui est 10 fois plus important que l'aspect humain
- Une augmentation de salaire qui est plus basse que le taux de l'inflation (1%)
- Aucune prime peu importe la performance du collaborateur";3.2
190;42;« Bien pour débuter sa carrière »;Je travaille chez Modis à temps plein depuis plus d'un an;"AvantagesAmbiance de travail agréable
Bon équilibre vie professionnelles et personnelle";InconvénientsTrop aléatoire en fonction du responsable;3.2
191;42;« Modis France (Lyon) »;Je travaille chez Modis à temps plein depuis plus de 3 ans;AvantagesTicket restaurant, Autonomie, mission chez différents clients inintéressantes.;"InconvénientsManque de suivi et d'écoute par les managers, sauf au moment des Entretiens annuels, ou une rupture conventionnelle ???
Pas de visite médicale, pas de formations (plusieurs demandes), ne suivent pas les conventions collectives.";3.2
192;42;« Bonne entreprise »;Je travaille chez Modis à temps plein depuis plus d'un an;AvantagesÉvolution, environnement de travail, soutien du manager;InconvénientsSuivi des employés débutants;3.2
193;42;« Entreprise jeune »;Je travaille chez Modis à temps plein depuis moins d'un an;AvantagesIntégration et suivi parfait et concret;InconvénientsExpérience trop jeune pour déceler les défauts;3.2
194;42;« Peut mieux faire »;Je travaille chez Modis à temps plein;AvantagesRespect de la vie privée et professionnelle;InconvénientsManque de vision à long-terme pour assurer un bon fonctionnement solide tout au long des divers périodes;3.2
195;42;« Excellent prestataire »;Je travaille chez Modis à temps plein depuis plus d'un an;"AvantagesTrès bonne communication
Bon suivi
Salaire correct
Nombreux after work";InconvénientsManque d'une prime de participation et d'une prime d’intéressement général;3.2
196;42;« Ingénieur Etude »;Je travaille chez Modis à temps plein depuis moins d'un an;AvantagesTicket restaurant Pass Navigo 100% remboursé , forfait mobile 50% remboursé;"InconvénientsSalaire dérisoire
Pas de primes intéressement";3.2
197;42;« Ingénieur développement informatique »;Je travaille chez Modis à temps plein;AvantagesSalaire de départ, suivi commercial, tickets restaurant;InconvénientsPas de formation, augmentations quasi inexistantes, prix des astreintes super bas;3.2
198;42;« Entreprise convenable »;J'ai travaillé chez Modis à temps plein plus d'un an;AvantagesCarte restaurant et 100% des transports remboursés;InconvénientsManque de suivi et d'écoute par les managers;3.2
199;42;« good »;Je travaille chez Modis à temps plein;AvantagesTitre de transport 100% et autres normalités;InconvénientsCE pas top ! Presque vide.;3.2
200;42;« Bon avis »;Je travaille chez Modis à temps plein depuis moins d'un an;AvantagesSalaire, à l'écoute, bonne ambiance;InconvénientsChoix des missions pas évidente;3.2
201;42;« Ingénieur d'étude »;Je travaille chez Modis à temps plein depuis moins d'un an;AvantagesTrès bonne boite / bonne ambiance;InconvénientsAvantages CE pas assez développés;3.2
202;44;« Ingénieur-système au Ministère de la Défense »;Je travaille chez UK Ministry of Defence à;AvantagesPossibilité de travailler sur de vastes projets d'importance stratégique dans le domaine de la haute technologie. De nombreuses possibilités d'évoluer avec des projets variés. Grande autonomie pour chaque employé.;InconvénientsMauvaise gestion des RH, carrière décidée par le diplôme initial. Difficulté à lancer de nouveaux projets. Lenteur administrative fréquente dans la vie quotidienne.;3.5
203;50;« Smile »;Je travaille chez Smile Group à temps plein;AvantagesTicket resto, ce, proximité manager;"InconvénientsRégie difficile d'en sortir 
Manque d'expertise au seins des equipes";3.7
204;50;« Entreprise humaine »;J'ai travaillé chez Smile Group à temps plein;AvantagesCadre de travail, ethique et equilibre vie pro/vie privee;InconvénientsSalaire assez faible, strategie de direction;3.7
205;50;« ECS : une BU à taille humaine »;Je travaille chez Smile Group à temps plein depuis plus d'un an;AvantagesDes collègues passionnés, des missions intéressantes, une ambiance de partage;InconvénientsUtilisation des formats propriétaire de la suite ms office pour les documents partagés avec les commerciaux;3.7
206;50;« Bon pour débuter »;Je travaille chez Smile Group à temps plein depuis plus de 3 ans;"AvantagesBonne école pour débuter
Structures relativement petites donc autonomie
Offre importante et intéressante sur le digital ou l'iot";"InconvénientsSalaire
Boîte très radine : matériel, locaux, voitures, frais professionnels...
Qualité des prestations vraiment mauvaise depuis quelques temps, donc clients insatisfaits";3.7
207;50;« Ingénieur d'études et développement »;Je travaille chez Smile Group à temps plein;AvantagesOrganisation et bonne gestion de projets;Inconvénientssans commentaires ,à voir ultérieurement;3.7
208;50;« Avis »;Je travaille chez Smile Group à temps plein depuis plus d'un an;"Avantages- des locaux sympatiques
- des prestataires aimables";"Inconvénients- salaire trop bas
- pas de suivie";3.7
209;50;« Bof »;J'ai travaillé chez Smile Group à temps plein moins d'un an;"Avantages- Horaires flexibles
- Très bonne ambiance entre collaborateurs (baby foot, console de jeux, sport)
- Carte restaurant
- Formations";"Inconvénients- Recrutement de juniors et difficulté à les placer en mission chez le client. Donc, contrat rompu durant la periode d'essai.
- Il faut 6 mois d'ancienneté et ne plus être en période d'essai pour bénéficier du télétravail (1 à 2 jours / semaine)
- Prime de vacances incluse dans la rémunération fixe
- Manque d'encadrement, le manager n'est pas très présent. Il y a tout de même un suivi qui est fait.";3.7
210;50;« Société à taille humaine »;J'ai travaillé chez Smile Group à temps plein plus d'un an;"AvantagesProximité avec le management
Ambiance Familiale";"InconvénientsEvolution salariale compliqué
Pauvreté des offres en régie";3.7
211;50;« Bonne ambiance »;Je travaille chez Smile Group à temps plein depuis plus d'un an;AvantagesBonne ambiance, locaux agréables, missions diversifiées;InconvénientsDegré hiérarchique et délai de prise de décision;3.7
212;50;« Une entreprise qui fait grandir »;Je travaille chez Smile Group à temps plein depuis plus d'un an;AvantagesTravailler auprès d'experts reconnus dans un marché ouvert et dynamique, c'est la garantie d'apprendre au quotidien et de participer à l'excellence dans l'open source. L'ambiance est également un des principaux avantages.;InconvénientsUne société qui grandit vite peut parfois représenter un inconvénient.;3.7
213;50;« La réalité du quotidien est loin d'être à la auteur des ambitions clamées haut et fort »;Je travaille chez Smile Group à temps plein depuis plus de 5 ans;AvantagesDiversité des missions, des collègues sympa, une bonne ambiance, la direction ne flic pas les employés;InconvénientsLocaux, salaires, travail en silos, manque de visions sur les projets;3.7
214;50;« Bonne Entreprise pour jeunes diplomés »;Je travaille chez Smile Group à temps plein;"AvantagesBonne ambiance de travail
Cadre idéal pour apprentissage";"InconvénientsSalaire
Peu d'avantages
Peu d'évolution de carrrière";3.7
215;50;« SMILE a de l'or entre les mains mais ne fait rien pour le garder »;Je travaille chez Smile Group à temps plein depuis plus d'un an;"AvantagesChez SMILE, tout tient à la bonne ambiance. 
Des soirées, des petits-déj, des activités,  des pics-niques, des jeux, des apéros, des challenges ... Bref, j'en passe, il fait vraiment bon vivre chez SMILE. 
 La force de l'entreprise repose sur ces collaborateurs. Il y a encore un esprit d'entreprise ""familiale"" , de PME malgré la croissance externe et le passage à près de 1000 collaborateurs.";InconvénientsL'entreprise ne se rend pas compte de la valeur de l'humain et n'encourage pas à rester. Gros turn-over, management hasardeux lorsqu'il est présent, aucun système de récompense, salaire faible, pas d'avantage, peu d'outils, on n'investi pas sur les outils. On tire sur la corde sur tous les sujets. Dommage et extrêmement dommageable pour le développement de l'entreprise.;3.7
216;50;« Bonne communication client »;J'ai travaillé chez Smile Group à temps plein;AvantagesBonne communication avec les clients;Inconvénientslocalisation de Smile à Asnieres;3.7
217;50;« Bonne entreprise en général »;Je travaille chez Smile Group à temps plein depuis moins d'un an;"AvantagesBonne Ambiance 
Evenement RH";"InconvénientsPas de Prime 
CE pas intéressant";3.7
218;50;« Mauvaise rémunération »;Je travaille chez Smile Group à temps plein depuis plus d'un an;"AvantagesFacilité à travailler sur des projets techniques.
Test technique à l'embauche poussé.
Collègues jeunes et sympatiques
Facilité à se faire embaucher chez son client lors de missions en AT.";"InconvénientsMauvaise rémunération par rapport au marché de l'emploi toulousain.
Beaucoup de turn-over (d'où la jeunesse de l'équipe).
Aucune prime.
Peu de participation/intéressement.
Peu d'avantages CE.
Difficultés à coopter car grilles trop basses par rapport au marché actuel.
Peu de considération quant à l'investissement des employés.
Réunions d'agence le soir.
Peu de RTT.
Demande d'excellence technique sans...contrepartie financière.Dérouler";3.7
219;50;« Très bonne ambiance »;Je travaille chez Smile Group à temps plein depuis plus d'un an;AvantagesUne bonne ambaince de travail, des équipes jeunes et dynamique. Une hierarichie accessible pour la plupart des équipes. Des évènements top organisé par les Ressources Humaines;InconvénientsLes salaires sont bas !;3.7
220;50;« entreprise pour débutant »;J'ai travaillé chez Smile Group à temps plein;Avantagesl'ambiance sur les différents plateaux;Inconvénientspas d'encadrement / trop de jeunes et de non expérimenté;3.7
221;50;« entreprise familiale »;Je travaille chez Smile Group à temps plein;"AvantagesL'ambiance générale est très sympathique. 
Les smiliens sont adorables et accueillants.";InconvénientsLes salaires sont bas, et souvent nous avons peu de moyens pour réaliser nos missions.;3.7
222;50;« Une boite moyenne »;Je travaille chez Smile Group à temps plein depuis moins d'un an;Avantagesstabilité et très bonne ambiance;InconvénientsFaible évolution de la rémunération;3.7
223;52;« une boite qui laisse leur chance au gens »;Je travaille chez Cegedim à temps plein depuis plus de 5 ans;Avantagestaille de l'entreprise, CE, intéressement et participation;Inconvénientsun peu en mode startup;3.3
224;52;« Changement fréquent de la structure »;J'ai travaillé chez Cegedim à temps plein;"Avantages- Agilité
- Proximité des équipes dev, fonctio";"Inconvénients- Pas de prime ou avantages
- Mission pas très adéquate au profil";3.3
225;52;« aucun »;Je travaille chez Cegedim à temps plein;Avantageshoraires tickey resto emplacement;Inconvénientspas d’inconvénients pour ma part;3.3
226;52;« Bon Feeling »;Je travaille chez Cegedim à temps plein;AvantagesEquipe a Taille humaine,souple, qui de l'avenir;InconvénientsPeu industriel, mais de formation;3.3
227;52;« Une entreprise où il fait bon vivre »;Je travaille chez Cegedim à temps plein depuis plus de 10 ans;"Avantages- Multitude d'entités et de projets qui permet de ne pas tomber dans la routine
- Entreprise en constante évolution technologique";Inconvénients- Certaines méthodes de management qui datent un peu;3.3
228;52;« Agile & Stress »;J'ai travaillé chez Cegedim à temps plein;AvantagesDe nombreuses opportunités dans des métiers variés;InconvénientsOrganisation en mode transformation digitale sans la véritable agilité indispensable à sa réussite, en conséquence beaucoup de stress.;3.3
229;52;« Positif »;Je travaille chez Cegedim à temps plein;AvantagesCompensation,  ADN,  Fondation,  Innovation,  Workplace;InconvénientsStress, Transformation en SSII côté Projets;3.3
230;52;« Entreprise en pleine implosion »;J'ai travaillé chez Cegedim à temps plein moins d'un an;"AvantagesBonne ambiance
Collègues agréables
Localisation
Télétravail
Intéressement participation (faibles)
Formation paie assez complète";"InconvénientsPas de mobilité interne sauf pour certains bien vus
Politique RH déplorable : on préfère embaucher des juniors plutôt que de garder ses salariés
Experts propulsés managers
Pas d’augmentations pas de possibilité d’en parler
Direction (agence) hautaine et à la limite du mépris
Démissions en masse";3.3
231;52;« Data analyst rd »;Je travaille chez Cegedim à temps plein depuis moins d'un an;"AvantagesTrès bon manager.
Sujets très intéressants.
Équipe dynamique.";InconvénientsAucun inconvenient. Rien de négatif à dire.;3.3
232;52;« Avis »;Je travaille chez Cegedim à temps plein;AvantagesBonne ambiance, entreprise ayant des valeurs humaines, évolution de carriere;Inconvénientsconvention collective des industries pharmaceutiques;3.3
233;52;« Exigence et charge de travail conséquente - Stress garanti »;Je travaille chez Cegedim à temps plein depuis moins d'un an;;;3.3
234;52;« Editeur de logiciel d'assurance »;Je travaille chez Cegedim à temps plein depuis plus d'un an;;;3.3
235;52;« Formateur »;Je travaille chez Cegedim à temps plein;;;3.3
236;52;« Entreprise qui propose une belle aventure »;Je travaille chez Cegedim à temps plein depuis moins d'un an;;;3.3
237;52;« riche en expérience »;Je travaille chez Cegedim à temps plein;;;3.3
238;52;« De belles perspectives de carrière ! »;Je travaille chez Cegedim à temps plein depuis plus de 3 ans;;;3.3
239;52;« A eviter »;J'ai travaillé chez Cegedim à temps plein plus de 5 ans;;;3.3
240;52;« Mérite mieux »;J'ai travaillé chez Cegedim à temps plein plus d'un an;;;3.3
241;52;« De belles choses à faire ... mais l'inertie de la structure et les aspects politiques plombent l'énergie »;J'ai travaillé chez Cegedim à temps plein plus de 5 ans;;;3.3
242;52;« Avis sur Cegedim Maroc »;J'ai travaillé chez Cegedim à temps plein moins d'un an;;;3.3
243;54;« Une bonne ESN en région Bordelaise »;J'ai travaillé chez Groupe Creative à temps plein plus d'un an;"AvantagesA Mérignac :
Proximité manager
Ecoute
Salaire correct
Bonne ambiance
Evénements after work
Choix des missions";"InconvénientsCE quasi inexistant
Mutuelle un peu faible par rapport au grand groupe.
TR 7€
Stricte Minimum de RTT
Pas d'intéressement
Peu de formation";3.6
244;54;« SSII sympathique »;Je travaille chez Groupe Creative à temps plein depuis moins d'un an;"AvantagesLes salaires sont intéressants pour les débuts avec expériences.
La mutuelle est assez intéressante.";InconvénientsCE pas très intéressent;3.6
245;54;« Très bonne boite »;Je travaille chez Groupe Creative à temps plein depuis moins d'un an;AvantagesEcoute, Projet intéressant, Evolution technique;InconvénientsTélétravail inexistant, régie obligatoire (pour l'instant);3.6
246;54;« bien »;Je travaille chez Groupe Creative à  depuis moins d'un an;Avantagescarte restaurant, remboursement 50% transport;Inconvénients.... .... .... .... ....;3.6
247;54;« Très bien »;Je travaille chez Groupe Creative à temps plein;AvantagesA l'écoute des souhaits, missions toujours en rapports avec le projet personnel, permet une bonne progression avec un soutient fort;InconvénientsMoins de projets à l'agence que chez les clients;3.6
248;54;« ESN à taille humaine »;Je travaille chez Groupe Creative à temps plein;AvantagesSociété à taille humaine. Direction accessible et à l'écoute.;InconvénientsCroissance importante, qui peut parfois déstabiliser l'organisation;3.6
249;54;« Fuyez ! »;J'ai travaillé chez Groupe Creative à temps plein moins d'un an;AvantagesCE sans grand intérêt,identique à ce qu'on peut trouver ailleurs pour une société de cette taille.;InconvénientsRéalité sans rapport avec le discours tenu pour vous faire venir.  Les valeurs présentées sont totalement bidons. Attention ne vous faites pas avoir...;3.6
250;54;« Pas mal »;Je travaille chez Groupe Creative à temps plein;"AvantagesGroupe agréable
Commerciaux à l'écoute des employés";InconvénientsSalaire moyennement élevé comparé aux concurrents;3.6
251;55;« A fuir »;J'ai travaillé chez Robert Half à temps plein;AvantagesAucuns avantages à être chez eux à part le véhicule de fonction au bout d'un an et demi d'ancienneté. Encore faut-il les atteindre.;Inconvénientséquipe de zinzins, des incompétents, imbus d'eux mêmes, sans aucune qualité managériale.;3.6
252;55;« Professionnelle »;Je travaille chez Robert Half à temps plein depuis moins d'un an;AvantagesTout les postes qui m'ont étés proposées correspondait  à mes attentes.  L'équipe est professionnelle,  sympathique et à l'écoute. Robert half est pour ma part la meilleure agence d'intérim avec qui jai travaillé.;InconvénientsL'inconvénient est, comme toutes les agences d'intérim,  la date de paiement des salaires.;3.6
253;55;« Moyen »;J'ai travaillé chez Robert Half à temps plein plus de 3 ans;"Avantages- Flexibilité
- Fêtes/événements
- Reconnaissance
- Bonne atmosphère de travail";"Inconvénients- Peu voire pas de possibilité d'évolution
- Le management ne cherche pas à faire évoluer son personnel
- Peu de transparence en terme de feedback (feedback vague)";3.6
254;55;« Mon avis après plus de 3 ans chez RH et plusieurs paliers franchis »;Je travaille chez Robert Half à temps plein depuis plus de 3 ans;"AvantagesJob passionnant et varié 
Responsabilités 
Package salarial
Bonus élevés 
Notoriété 
Possibilités d'évolution 
Méritocratie";"InconvénientsPression quotidienne 
Investissement demandé 
Micromanagement 
Équilibre vie privée et professionnelle 
Peu de flexibilité";3.6
255;55;« Une intégration immersive à l'image de l'entreprise »;Je travaille chez Robert Half à temps plein depuis moins d'un an;AvantagesUne intégration rapide et une équipe humble qui s'entraide. De bonnes formations et des responsables très pédagogues. Une intégration rapide tant dans l'équipe que dans les process;InconvénientsUn matériel un peu vieillissant (ordinateur, téléphone). Un matériel plus moderne pourrait permettre une meilleure réactivité et une aisance quotidienne dans les taches à éffecuer;3.6
256;55;« Belles conditions »;Je travaille chez Robert Half à temps plein depuis moins d'un an;AvantagesHoraire Flexible , Défis continuels , Réussite;InconvénientsAucun tout est simple et efficace;3.6
257;55;« Top entreprise! »;Je travaille chez Robert Half à temps plein depuis plus d'un an;AvantagesUn excellent cadre de travail et une bonne ambiance. Des managers transparents et à l'écoute. Un vrai accompagnement dans le succès des collaborateurs.;InconvénientsPas d'inconvénients qui puissent être gênant dans le travail, le bien-être ou l'évolution des collaborateurs.;3.6
258;55;« Esprit d'équipe et Challenge »;Je travaille chez Robert Half à temps plein depuis moins d'un an;"AvantagesL'esprit d'équipe est très important dans le cabinet. 
Très bonne ambiance de travail !";"InconvénientsLe challenge est présent au quotidien.
Pour que les consultants atteignent leurs objectifs, on leur confie tous les outils nécessaires.";3.6
259;55;« Excellente boîte »;Je travaille chez Robert Half à temps plein depuis plus de 8 ans;"AvantagesSalaire
Tickets restaurant
13 ème mois pour les non cadres
RTT
Esprit d'équipe
Team Building
Repas /convivialité";"InconvénientsSalaire
Pas de CE
Pas de chèque vacances
Pas de restaurant d'entreprise
Pas de participation
Pas de 14 ème mois";3.6
260;55;« Bosser chez RHI »;J'ai travaillé chez Robert Half à temps plein moins d'un an;AvantagesPrime en juillet et janvier, ticket restaurant, cuisine avec micro onde et lave vaisselle;"InconvénientsLes salaires sont bas comparés à la moyenne/ marché du travail.  
Beaucoup de turn over, ce qui peut être perturbant au travail.";3.6
261;55;« Du challenge et de la montée en compétence ! »;Je travaille chez Robert Half à temps plein depuis plus de 3 ans;AvantagesSociété qui sait challenger ses collaborateurs,  donne toutes les clés pour faire monter en compétence les équipes, beaucoup d'évolutions et de promotions en interne ! Du dynamisme, des équipes soudées, de l'envie, et de nombreux outils mis en places en interne (tablettes, locaux...);InconvénientsManque de flexibilité sur les horaires;3.6
262;55;« Le travail est récompensé »;Je travaille chez Robert Half à temps plein depuis plus de 5 ans;"AvantagesVariable intéressant
Carrière au mérite
Proximité des managers qui sont à l'écoute des équipes
Progression rapide
Beaucoup de formation et d'accompagnement";"InconvénientsManque de flexibilité sur les horaires
Les locaux sont très sympas mais un peu petit";3.6
263;55;« Une belle équipe en local, un très beau groupe en soutien ! »;Je travaille chez Robert Half à temps plein depuis moins d'un an;AvantagesRobert Half c'est un grand groupe, des process, un vrai encadrement, des possibilités d'évolution de carrière, des métiers enrichissants... Et comme dit en titre, une belle équipe en local et un grand groupe qui vient en soutien de l'activité au quotidien !;InconvénientsTrès peu. Nous avons beaucoup de moyens de communication, nous avons l'habitude de travailler à distance, bien que parfois ce ne soit pas simple.;3.6
264;55;« Environnement challengeant ! »;Je travaille chez Robert Half à temps plein depuis plus d'un an;AvantagesEnvironnement dynamique et challengeant,  belles possibilités d'évolution, esprit d'équipe, notoriété du groupe,;InconvénientsFlexibilité (pas de télétravail),;3.6
265;55;« L'expérience Robert Half »;Je travaille chez Robert Half à temps plein depuis moins d'un an;AvantagesL'expertise, nous intervenons sur un scope métier définit avec une méthode éprouvé. Ça permet de devenir un expert sur sa fonction et de mettre ce savoir faire au service du client.;InconvénientsTout va très vite, mais c'est plutôt un avantage, on ne s'ennuie jamais!!;3.6
266;55;« Work Hard, Play Hard »;Je travaille chez Robert Half à temps plein depuis moins d'un an;AvantagesDes locaux magnifiques, une équipe bien soudée, des managers à l’écouté;InconvénientsUn milieu challengeant et une forte concurrence;3.6
267;55;« Une entreprise incroyable ! »;Je travaille chez Robert Half à temps plein depuis plus d'un an;AvantagesC'est avec plaisir que chaque matin, depuis plus d'un an et demi, je me lève pour travailler chez Robert Half. C'est une entreprise à taille humaine où règne bonne ambiance, convivialité, esprit d'équipe, confiance, entraide... Tous est mis en oeuvre dès notre arrivée pour que notre intégration se passe bien. De plus, nous sommes suivis et formés pour nous permettre d'atteindre nos objectifs et nous sur notre poste.;InconvénientsSi vous cherchez un poste ennuyant et une mauvaise équipe, fuyez! :);3.6
268;55;« L'opportunité d'apprendre et se dépasser »;Je travaille chez Robert Half à temps plein depuis plus d'un an;AvantagesAccompagnement Carrière Contact Opportunités Diversité;InconvénientsUn travail fait pour les challengers!;3.6
